index,case-name,Porosity,Eff. Porosity,K(x)[D],K(y)[D],K(z)[D],M. time[s],S. Time[s],Res.
1113,1123.0,0.166851259,0.160856144,0.217,1.0985,1.2899,215.0,54.0,3e-06
1114,1124.0,0.205550815,0.203687965,0.6554,0.8993,1.4423,273.0,69.0,3e-06
1115,1125.0,0.19669985199999998,0.19539361600000002,1.0907,1.2928,1.4685,269.0,65.0,3e-06
1116,1126.0,0.19390044399999998,0.190715353,2.3258,2.424,1.7778,256.0,59.0,3e-06
1117,1127.0,0.165932148,0.162359034,1.9087,1.1507,1.0985,204.0,51.0,3e-06
1118,1128.0,0.177437333,0.174771548,1.966,0.9514,1.2492,237.0,57.0,3e-06
1119,1129.0,0.22211437,0.220926018,2.9332,3.1715,8.3801,225.0,61.0,3e-06
1120,1130.0,0.225190815,0.224287718,3.1867,4.671,10.0544,228.0,63.0,3e-06
1121,1131.0,0.22483140699999998,0.22331368399999998,2.3194,11.2209,9.9422,213.0,66.0,3e-06
1122,1132.0,0.209283852,0.207460253,2.0073,5.6378,4.3744,240.0,68.0,3e-06
1124,1134.0,0.202517333,0.199306487,1.3846,2.2922,3.8116,237.0,74.0,3e-06
1125,1135.0,0.21156503699999998,0.21110088600000002,2.7278,2.6887,1.9293,250.0,74.0,3e-06
1126,1136.0,0.182592593,0.18111671399999998,1.5768,1.9022,1.5632,229.0,66.0,3e-06
1127,1137.0,0.20126725899999998,0.20018903,2.0969,2.3903,2.3541,223.0,62.0,3e-06
1128,1138.0,0.18119111100000002,0.178980088,1.0921,1.7444,1.8941,222.0,54.0,3e-06
1129,1139.0,0.16178163,0.157828048,1.0598,1.3082,0.7823,207.0,57.0,3e-06
1130,1140.0,0.144585185,0.141646592,0.1055,1.3932,0.8098,192.0,54.0,3e-06
1131,1141.0,0.131478222,0.123466861,0.0055,0.9221,0.8067,179.0,50.0,3e-06
1132,1142.0,0.15797303699999998,0.154255475,0.4796,0.6299,0.7062,207.0,61.0,3e-06
1133,1143.0,0.168465185,0.165808876,1.3623,0.7208,1.5347,229.0,56.0,3e-06
1134,1144.0,0.189585185,0.187427292,1.7148,1.4387,2.1268,237.0,59.0,3e-06
1135,1145.0,0.17007525899999998,0.166467158,1.5496,0.9746,1.4496,208.0,51.0,3e-06
1136,1146.0,0.179306667,0.175931909,1.5619999999999998,1.2668,1.8509,224.0,53.0,3e-06
1137,1147.0,0.206625778,0.201770022,1.9132,1.5003,6.2425,214.0,51.0,3e-06
1138,1148.0,0.216585778,0.215707741,3.0902,2.7846,6.2633,209.0,53.0,3e-06
1139,1149.0,0.234813037,0.23345679999999996,2.3485,10.6793,10.9589,210.0,52.0,3e-06
1140,1150.0,0.24138222199999998,0.24066107899999997,5.1293,5.9008,9.1516,213.0,55.0,3e-06
1142,1152.0,0.229254815,0.227822355,4.1482,4.8382,4.467,212.0,52.0,3e-06
1144,1154.0,0.19576651899999997,0.193765763,2.3085,1.8962,1.5462,217.0,54.0,3e-06
1146,1156.0,0.199352296,0.19770875899999998,1.8564,2.7399,1.9931,187.0,52.0,3e-06
1147,1157.0,0.19604859300000002,0.194083747,1.6425,1.864,1.1082,208.0,55.0,3e-06
1148,1158.0,0.155225778,0.152600845,0.4203,1.4004,0.8881,204.0,55.0,3e-06
1149,1159.0,0.13786251900000002,0.127631887,0.026000000000000002,1.2261,0.6032,192.0,44.0,3e-06
1150,1160.0,0.142704889,0.138335101,0.0218,1.2676,0.6834,225.0,52.0,3e-06
1151,1161.0,0.157529778,0.153336112,0.9103,1.8094,3.5434,239.0,53.0,3e-06
